input,role,dataset,params,geo,country,year,value,status_flag
core_real_gdp,core LP outcome/input,nama_10_gdp,freq=A&unit=CLV15_MEUR&na_item=B1GQ,AT,AUT,2024,380175.2,
core_real_gdp,core LP outcome/input,nama_10_gdp,freq=A&unit=CLV15_MEUR&na_item=B1GQ,AT,AUT,2025,383403.6,
core_real_gdp,core LP outcome/input,nama_10_gdp,freq=A&unit=CLV15_MEUR&na_item=B1GQ,BE,BEL,2024,481176.1,p
core_real_gdp,core LP outcome/input,nama_10_gdp,freq=A&unit=CLV15_MEUR&na_item=B1GQ,BE,BEL,2025,485906.6,p
core_real_gdp,core LP outcome/input,nama_10_gdp,freq=A&unit=CLV15_MEUR&na_item=B1GQ,BG,BGR,2024,58847.0,
core_real_gdp,core LP outcome/input,nama_10_gdp,freq=A&unit=CLV15_MEUR&na_item=B1GQ,BG,BGR,2025,60669.1,p
core_real_gdp,core LP outcome/input,nama_10_gdp,freq=A&unit=CLV15_MEUR&na_item=B1GQ,CY,CYP,2024,28730.5,p
core_real_gdp,core LP outcome/input,nama_10_gdp,freq=A&unit=CLV15_MEUR&na_item=B1GQ,CY,CYP,2025,29814.6,p
core_real_gdp,core LP outcome/input,nama_10_gdp,freq=A&unit=CLV15_MEUR&na_item=B1GQ,CZ,CZE,2024,201087.9,
core_real_gdp,core LP outcome/input,nama_10_gdp,freq=A&unit=CLV15_MEUR&na_item=B1GQ,CZ,CZE,2025,206276.9,
core_real_gdp,core LP outcome/input,nama_10_gdp,freq=A&unit=CLV15_MEUR&na_item=B1GQ,DE,DEU,2024,3314110.9,p
core_real_gdp,core LP outcome/input,nama_10_gdp,freq=A&unit=CLV15_MEUR&na_item=B1GQ,DE,DEU,2025,3321415.6,p
core_real_gdp,core LP outcome/input,nama_10_gdp,freq=A&unit=CLV15_MEUR&na_item=B1GQ,DK,DNK,2024,327649.3,
core_real_gdp,core LP outcome/input,nama_10_gdp,freq=A&unit=CLV15_MEUR&na_item=B1GQ,DK,DNK,2025,337244.3,
core_real_gdp,core LP outcome/input,nama_10_gdp,freq=A&unit=CLV15_MEUR&na_item=B1GQ,EE,EST,2024,24834.4,
core_real_gdp,core LP outcome/input,nama_10_gdp,freq=A&unit=CLV15_MEUR&na_item=B1GQ,EE,EST,2025,24979.5,
core_real_gdp,core LP outcome/input,nama_10_gdp,freq=A&unit=CLV15_MEUR&na_item=B1GQ,EL,GRC,2024,201579.5,p
core_real_gdp,core LP outcome/input,nama_10_gdp,freq=A&unit=CLV15_MEUR&na_item=B1GQ,EL,GRC,2025,205758.4,p
core_real_gdp,core LP outcome/input,nama_10_gdp,freq=A&unit=CLV15_MEUR&na_item=B1GQ,ES,ESP,2024,1287587.6,p
core_real_gdp,core LP outcome/input,nama_10_gdp,freq=A&unit=CLV15_MEUR&na_item=B1GQ,ES,ESP,2025,1323961.4,p
core_real_gdp,core LP outcome/input,nama_10_gdp,freq=A&unit=CLV15_MEUR&na_item=B1GQ,FI,FIN,2024,228315.0,
core_real_gdp,core LP outcome/input,nama_10_gdp,freq=A&unit=CLV15_MEUR&na_item=B1GQ,FI,FIN,2025,228711.0,
core_real_gdp,core LP outcome/input,nama_10_gdp,freq=A&unit=CLV15_MEUR&na_item=B1GQ,FR,FRA,2024,2464158.7,p
core_real_gdp,core LP outcome/input,nama_10_gdp,freq=A&unit=CLV15_MEUR&na_item=B1GQ,FR,FRA,2025,2483983.3,p
core_real_gdp,core LP outcome/input,nama_10_gdp,freq=A&unit=CLV15_MEUR&na_item=B1GQ,HR,HRV,2024,61568.2,p
core_real_gdp,core LP outcome/input,nama_10_gdp,freq=A&unit=CLV15_MEUR&na_item=B1GQ,HR,HRV,2025,63663.1,p
core_real_gdp,core LP outcome/input,nama_10_gdp,freq=A&unit=CLV15_MEUR&na_item=B1GQ,HU,HUN,2024,142537.3,
core_real_gdp,core LP outcome/input,nama_10_gdp,freq=A&unit=CLV15_MEUR&na_item=B1GQ,HU,HUN,2025,143263.6,p
core_real_gdp,core LP outcome/input,nama_10_gdp,freq=A&unit=CLV15_MEUR&na_item=B1GQ,IE,IRL,2024,459451.4,
core_real_gdp,core LP outcome/input,nama_10_gdp,freq=A&unit=CLV15_MEUR&na_item=B1GQ,IE,IRL,2025,516136.6,
core_real_gdp,core LP outcome/input,nama_10_gdp,freq=A&unit=CLV15_MEUR&na_item=B1GQ,IT,ITA,2024,1833549.8,
core_real_gdp,core LP outcome/input,nama_10_gdp,freq=A&unit=CLV15_MEUR&na_item=B1GQ,IT,ITA,2025,1843443.4,
core_real_gdp,core LP outcome/input,nama_10_gdp,freq=A&unit=CLV15_MEUR&na_item=B1GQ,LT,LTU,2024,49995.4,
core_real_gdp,core LP outcome/input,nama_10_gdp,freq=A&unit=CLV15_MEUR&na_item=B1GQ,LT,LTU,2025,51455.3,
core_real_gdp,core LP outcome/input,nama_10_gdp,freq=A&unit=CLV15_MEUR&na_item=B1GQ,LU,LUX,2024,63549.4,
core_real_gdp,core LP outcome/input,nama_10_gdp,freq=A&unit=CLV15_MEUR&na_item=B1GQ,LU,LUX,2025,63954.7,p
core_real_gdp,core LP outcome/input,nama_10_gdp,freq=A&unit=CLV15_MEUR&na_item=B1GQ,LV,LVA,2024,27543.7,
core_real_gdp,core LP outcome/input,nama_10_gdp,freq=A&unit=CLV15_MEUR&na_item=B1GQ,LV,LVA,2025,28132.6,
core_real_gdp,core LP outcome/input,nama_10_gdp,freq=A&unit=CLV15_MEUR&na_item=B1GQ,MT,MLT,2024,17689.7,
core_real_gdp,core LP outcome/input,nama_10_gdp,freq=A&unit=CLV15_MEUR&na_item=B1GQ,MT,MLT,2025,18390.4,
core_real_gdp,core LP outcome/input,nama_10_gdp,freq=A&unit=CLV15_MEUR&na_item=B1GQ,NL,NLD,2024,829927.1,
core_real_gdp,core LP outcome/input,nama_10_gdp,freq=A&unit=CLV15_MEUR&na_item=B1GQ,NL,NLD,2025,844738.2,
core_real_gdp,core LP outcome/input,nama_10_gdp,freq=A&unit=CLV15_MEUR&na_item=B1GQ,PL,POL,2024,594143.0,
core_real_gdp,core LP outcome/input,nama_10_gdp,freq=A&unit=CLV15_MEUR&na_item=B1GQ,PL,POL,2025,615721.8,
core_real_gdp,core LP outcome/input,nama_10_gdp,freq=A&unit=CLV15_MEUR&na_item=B1GQ,PT,PRT,2024,218460.0,p
core_real_gdp,core LP outcome/input,nama_10_gdp,freq=A&unit=CLV15_MEUR&na_item=B1GQ,PT,PRT,2025,222525.8,p
core_real_gdp,core LP outcome/input,nama_10_gdp,freq=A&unit=CLV15_MEUR&na_item=B1GQ,RO,ROU,2024,213902.1,p
core_real_gdp,core LP outcome/input,nama_10_gdp,freq=A&unit=CLV15_MEUR&na_item=B1GQ,RO,ROU,2025,215352.0,p
core_real_gdp,core LP outcome/input,nama_10_gdp,freq=A&unit=CLV15_MEUR&na_item=B1GQ,SE,SWE,2024,522704.3,
core_real_gdp,core LP outcome/input,nama_10_gdp,freq=A&unit=CLV15_MEUR&na_item=B1GQ,SE,SWE,2025,530588.8,
core_real_gdp,core LP outcome/input,nama_10_gdp,freq=A&unit=CLV15_MEUR&na_item=B1GQ,SI,SVN,2024,50111.0,
core_real_gdp,core LP outcome/input,nama_10_gdp,freq=A&unit=CLV15_MEUR&na_item=B1GQ,SI,SVN,2025,50642.1,
core_real_gdp,core LP outcome/input,nama_10_gdp,freq=A&unit=CLV15_MEUR&na_item=B1GQ,SK,SVK,2024,96644.0,
core_real_gdp,core LP outcome/input,nama_10_gdp,freq=A&unit=CLV15_MEUR&na_item=B1GQ,SK,SVK,2025,97424.3,
core_real_government_consumption,core LP input,nama_10_gdp,freq=A&unit=CLV15_MEUR&na_item=P3_S13,AT,AUT,2024,80226.1,
core_real_government_consumption,core LP input,nama_10_gdp,freq=A&unit=CLV15_MEUR&na_item=P3_S13,AT,AUT,2025,82149.1,
core_real_government_consumption,core LP input,nama_10_gdp,freq=A&unit=CLV15_MEUR&na_item=P3_S13,BE,BEL,2024,113918.9,p
core_real_government_consumption,core LP input,nama_10_gdp,freq=A&unit=CLV15_MEUR&na_item=P3_S13,BE,BEL,2025,115755.9,p
core_real_government_consumption,core LP input,nama_10_gdp,freq=A&unit=CLV15_MEUR&na_item=P3_S13,BG,BGR,2024,10392.4,
core_real_government_consumption,core LP input,nama_10_gdp,freq=A&unit=CLV15_MEUR&na_item=P3_S13,BG,BGR,2025,11123.5,p
core_real_government_consumption,core LP input,nama_10_gdp,freq=A&unit=CLV15_MEUR&na_item=P3_S13,CY,CYP,2024,4656.8,p
core_real_government_consumption,core LP input,nama_10_gdp,freq=A&unit=CLV15_MEUR&na_item=P3_S13,CY,CYP,2025,4751.7,p
core_real_government_consumption,core LP input,nama_10_gdp,freq=A&unit=CLV15_MEUR&na_item=P3_S13,CZ,CZE,2024,40338.7,
core_real_government_consumption,core LP input,nama_10_gdp,freq=A&unit=CLV15_MEUR&na_item=P3_S13,CZ,CZE,2025,41204.0,
core_real_government_consumption,core LP input,nama_10_gdp,freq=A&unit=CLV15_MEUR&na_item=P3_S13,DE,DEU,2024,741884.3,p
core_real_government_consumption,core LP input,nama_10_gdp,freq=A&unit=CLV15_MEUR&na_item=P3_S13,DE,DEU,2025,753061.4,p
core_real_government_consumption,core LP input,nama_10_gdp,freq=A&unit=CLV15_MEUR&na_item=P3_S13,DK,DNK,2024,72677.6,
core_real_government_consumption,core LP input,nama_10_gdp,freq=A&unit=CLV15_MEUR&na_item=P3_S13,DK,DNK,2025,73777.9,
core_real_government_consumption,core LP input,nama_10_gdp,freq=A&unit=CLV15_MEUR&na_item=P3_S13,EE,EST,2024,4797.9,
core_real_government_consumption,core LP input,nama_10_gdp,freq=A&unit=CLV15_MEUR&na_item=P3_S13,EE,EST,2025,4920.8,
core_real_government_consumption,core LP input,nama_10_gdp,freq=A&unit=CLV15_MEUR&na_item=P3_S13,EL,GRC,2024,37497.7,p
core_real_government_consumption,core LP input,nama_10_gdp,freq=A&unit=CLV15_MEUR&na_item=P3_S13,EL,GRC,2025,37611.9,p
core_real_government_consumption,core LP input,nama_10_gdp,freq=A&unit=CLV15_MEUR&na_item=P3_S13,ES,ESP,2024,258607.0,p
core_real_government_consumption,core LP input,nama_10_gdp,freq=A&unit=CLV15_MEUR&na_item=P3_S13,ES,ESP,2025,264896.5,p
core_real_government_consumption,core LP input,nama_10_gdp,freq=A&unit=CLV15_MEUR&na_item=P3_S13,FI,FIN,2024,60308.0,
core_real_government_consumption,core LP input,nama_10_gdp,freq=A&unit=CLV15_MEUR&na_item=P3_S13,FI,FIN,2025,60164.0,
core_real_government_consumption,core LP input,nama_10_gdp,freq=A&unit=CLV15_MEUR&na_item=P3_S13,FR,FRA,2024,599737.0,p
core_real_government_consumption,core LP input,nama_10_gdp,freq=A&unit=CLV15_MEUR&na_item=P3_S13,FR,FRA,2025,603392.0,p
core_real_government_consumption,core LP input,nama_10_gdp,freq=A&unit=CLV15_MEUR&na_item=P3_S13,HR,HRV,2024,13775.7,p
core_real_government_consumption,core LP input,nama_10_gdp,freq=A&unit=CLV15_MEUR&na_item=P3_S13,HR,HRV,2025,14345.7,p
core_real_government_consumption,core LP input,nama_10_gdp,freq=A&unit=CLV15_MEUR&na_item=P3_S13,HU,HUN,2024,26220.6,
core_real_government_consumption,core LP input,nama_10_gdp,freq=A&unit=CLV15_MEUR&na_item=P3_S13,HU,HUN,2025,26843.2,p
core_real_government_consumption,core LP input,nama_10_gdp,freq=A&unit=CLV15_MEUR&na_item=P3_S13,IE,IRL,2024,54684.1,
core_real_government_consumption,core LP input,nama_10_gdp,freq=A&unit=CLV15_MEUR&na_item=P3_S13,IE,IRL,2025,56837.0,
core_real_government_consumption,core LP input,nama_10_gdp,freq=A&unit=CLV15_MEUR&na_item=P3_S13,IT,ITA,2024,342023.0,
core_real_government_consumption,core LP input,nama_10_gdp,freq=A&unit=CLV15_MEUR&na_item=P3_S13,IT,ITA,2025,343967.6,
core_real_government_consumption,core LP input,nama_10_gdp,freq=A&unit=CLV15_MEUR&na_item=P3_S13,LT,LTU,2024,6606.8,
core_real_government_consumption,core LP input,nama_10_gdp,freq=A&unit=CLV15_MEUR&na_item=P3_S13,LT,LTU,2025,6674.3,
core_real_government_consumption,core LP input,nama_10_gdp,freq=A&unit=CLV15_MEUR&na_item=P3_S13,LU,LUX,2024,12288.0,
core_real_government_consumption,core LP input,nama_10_gdp,freq=A&unit=CLV15_MEUR&na_item=P3_S13,LU,LUX,2025,12748.3,p
core_real_government_consumption,core LP input,nama_10_gdp,freq=A&unit=CLV15_MEUR&na_item=P3_S13,LV,LVA,2024,5452.3,
core_real_government_consumption,core LP input,nama_10_gdp,freq=A&unit=CLV15_MEUR&na_item=P3_S13,LV,LVA,2025,5833.0,
core_real_government_consumption,core LP input,nama_10_gdp,freq=A&unit=CLV15_MEUR&na_item=P3_S13,MT,MLT,2024,2964.7,
core_real_government_consumption,core LP input,nama_10_gdp,freq=A&unit=CLV15_MEUR&na_item=P3_S13,MT,MLT,2025,3112.3,
core_real_government_consumption,core LP input,nama_10_gdp,freq=A&unit=CLV15_MEUR&na_item=P3_S13,NL,NLD,2024,213950.0,
core_real_government_consumption,core LP input,nama_10_gdp,freq=A&unit=CLV15_MEUR&na_item=P3_S13,NL,NLD,2025,218071.5,
core_real_government_consumption,core LP input,nama_10_gdp,freq=A&unit=CLV15_MEUR&na_item=P3_S13,PL,POL,2024,112524.4,
core_real_government_consumption,core LP input,nama_10_gdp,freq=A&unit=CLV15_MEUR&na_item=P3_S13,PL,POL,2025,118440.1,
core_real_government_consumption,core LP input,nama_10_gdp,freq=A&unit=CLV15_MEUR&na_item=P3_S13,PT,PRT,2024,36343.2,p
core_real_government_consumption,core LP input,nama_10_gdp,freq=A&unit=CLV15_MEUR&na_item=P3_S13,PT,PRT,2025,36934.9,p
core_real_government_consumption,core LP input,nama_10_gdp,freq=A&unit=CLV15_MEUR&na_item=P3_S13,RO,ROU,2024,27572.6,p
core_real_government_consumption,core LP input,nama_10_gdp,freq=A&unit=CLV15_MEUR&na_item=P3_S13,RO,ROU,2025,26858.9,p
core_real_government_consumption,core LP input,nama_10_gdp,freq=A&unit=CLV15_MEUR&na_item=P3_S13,SE,SWE,2024,128302.2,
core_real_government_consumption,core LP input,nama_10_gdp,freq=A&unit=CLV15_MEUR&na_item=P3_S13,SE,SWE,2025,129623.8,
core_real_government_consumption,core LP input,nama_10_gdp,freq=A&unit=CLV15_MEUR&na_item=P3_S13,SI,SVN,2024,9449.7,
core_real_government_consumption,core LP input,nama_10_gdp,freq=A&unit=CLV15_MEUR&na_item=P3_S13,SI,SVN,2025,9600.1,
core_real_government_consumption,core LP input,nama_10_gdp,freq=A&unit=CLV15_MEUR&na_item=P3_S13,SK,SVK,2024,16696.6,
core_real_government_consumption,core LP input,nama_10_gdp,freq=A&unit=CLV15_MEUR&na_item=P3_S13,SK,SVK,2025,16881.3,
core_nominal_public_investment,core LP input,gov_10a_main,freq=A&unit=MIO_EUR&sector=S13&na_item=P51G,AT,AUT,2024,19443.1,
core_nominal_public_investment,core LP input,gov_10a_main,freq=A&unit=MIO_EUR&sector=S13&na_item=P51G,AT,AUT,2025,20004.0,
core_nominal_public_investment,core LP input,gov_10a_main,freq=A&unit=MIO_EUR&sector=S13&na_item=P51G,BE,BEL,2024,19367.3,p
core_nominal_public_investment,core LP input,gov_10a_main,freq=A&unit=MIO_EUR&sector=S13&na_item=P51G,BE,BEL,2025,19946.8,p
core_nominal_public_investment,core LP input,gov_10a_main,freq=A&unit=MIO_EUR&sector=S13&na_item=P51G,BG,BGR,2024,3311.3,
core_nominal_public_investment,core LP input,gov_10a_main,freq=A&unit=MIO_EUR&sector=S13&na_item=P51G,BG,BGR,2025,5243.5,
core_nominal_public_investment,core LP input,gov_10a_main,freq=A&unit=MIO_EUR&sector=S13&na_item=P51G,CY,CYP,2024,964.7,
core_nominal_public_investment,core LP input,gov_10a_main,freq=A&unit=MIO_EUR&sector=S13&na_item=P51G,CY,CYP,2025,1201.2,
core_nominal_public_investment,core LP input,gov_10a_main,freq=A&unit=MIO_EUR&sector=S13&na_item=P51G,CZ,CZE,2024,15104.0,
core_nominal_public_investment,core LP input,gov_10a_main,freq=A&unit=MIO_EUR&sector=S13&na_item=P51G,CZ,CZE,2025,17960.9,
core_nominal_public_investment,core LP input,gov_10a_main,freq=A&unit=MIO_EUR&sector=S13&na_item=P51G,DE,DEU,2024,132292.0,
core_nominal_public_investment,core LP input,gov_10a_main,freq=A&unit=MIO_EUR&sector=S13&na_item=P51G,DE,DEU,2025,145352.0,
core_nominal_public_investment,core LP input,gov_10a_main,freq=A&unit=MIO_EUR&sector=S13&na_item=P51G,DK,DNK,2024,12467.3,
core_nominal_public_investment,core LP input,gov_10a_main,freq=A&unit=MIO_EUR&sector=S13&na_item=P51G,DK,DNK,2025,13805.2,
core_nominal_public_investment,core LP input,gov_10a_main,freq=A&unit=MIO_EUR&sector=S13&na_item=P51G,EE,EST,2024,2478.4,
core_nominal_public_investment,core LP input,gov_10a_main,freq=A&unit=MIO_EUR&sector=S13&na_item=P51G,EE,EST,2025,2784.7,
core_nominal_public_investment,core LP input,gov_10a_main,freq=A&unit=MIO_EUR&sector=S13&na_item=P51G,EL,GRC,2024,10067.0,
core_nominal_public_investment,core LP input,gov_10a_main,freq=A&unit=MIO_EUR&sector=S13&na_item=P51G,EL,GRC,2025,11854.0,
core_nominal_public_investment,core LP input,gov_10a_main,freq=A&unit=MIO_EUR&sector=S13&na_item=P51G,ES,ESP,2024,43485.0,
core_nominal_public_investment,core LP input,gov_10a_main,freq=A&unit=MIO_EUR&sector=S13&na_item=P51G,ES,ESP,2025,49632.0,
core_nominal_public_investment,core LP input,gov_10a_main,freq=A&unit=MIO_EUR&sector=S13&na_item=P51G,FI,FIN,2024,12246.0,
core_nominal_public_investment,core LP input,gov_10a_main,freq=A&unit=MIO_EUR&sector=S13&na_item=P51G,FI,FIN,2025,12487.0,
core_nominal_public_investment,core LP input,gov_10a_main,freq=A&unit=MIO_EUR&sector=S13&na_item=P51G,FR,FRA,2024,127529.8,
core_nominal_public_investment,core LP input,gov_10a_main,freq=A&unit=MIO_EUR&sector=S13&na_item=P51G,FR,FRA,2025,131648.8,
core_nominal_public_investment,core LP input,gov_10a_main,freq=A&unit=MIO_EUR&sector=S13&na_item=P51G,HR,HRV,2024,4483.7,
core_nominal_public_investment,core LP input,gov_10a_main,freq=A&unit=MIO_EUR&sector=S13&na_item=P51G,HR,HRV,2025,5594.2,
core_nominal_public_investment,core LP input,gov_10a_main,freq=A&unit=MIO_EUR&sector=S13&na_item=P51G,HU,HUN,2024,8999.3,
core_nominal_public_investment,core LP input,gov_10a_main,freq=A&unit=MIO_EUR&sector=S13&na_item=P51G,HU,HUN,2025,8325.0,
core_nominal_public_investment,core LP input,gov_10a_main,freq=A&unit=MIO_EUR&sector=S13&na_item=P51G,IE,IRL,2024,14279.6,
core_nominal_public_investment,core LP input,gov_10a_main,freq=A&unit=MIO_EUR&sector=S13&na_item=P51G,IE,IRL,2025,17306.8,
core_nominal_public_investment,core LP input,gov_10a_main,freq=A&unit=MIO_EUR&sector=S13&na_item=P51G,IT,ITA,2024,79108.0,
core_nominal_public_investment,core LP input,gov_10a_main,freq=A&unit=MIO_EUR&sector=S13&na_item=P51G,IT,ITA,2025,86716.0,
core_nominal_public_investment,core LP input,gov_10a_main,freq=A&unit=MIO_EUR&sector=S13&na_item=P51G,LT,LTU,2024,3326.5,
core_nominal_public_investment,core LP input,gov_10a_main,freq=A&unit=MIO_EUR&sector=S13&na_item=P51G,LT,LTU,2025,3446.9,
core_nominal_public_investment,core LP input,gov_10a_main,freq=A&unit=MIO_EUR&sector=S13&na_item=P51G,LU,LUX,2024,4018.1,
core_nominal_public_investment,core LP input,gov_10a_main,freq=A&unit=MIO_EUR&sector=S13&na_item=P51G,LU,LUX,2025,4512.4,
core_nominal_public_investment,core LP input,gov_10a_main,freq=A&unit=MIO_EUR&sector=S13&na_item=P51G,LV,LVA,2024,2560.7,
core_nominal_public_investment,core LP input,gov_10a_main,freq=A&unit=MIO_EUR&sector=S13&na_item=P51G,LV,LVA,2025,2711.9,
core_nominal_public_investment,core LP input,gov_10a_main,freq=A&unit=MIO_EUR&sector=S13&na_item=P51G,MT,MLT,2024,743.8,
core_nominal_public_investment,core LP input,gov_10a_main,freq=A&unit=MIO_EUR&sector=S13&na_item=P51G,MT,MLT,2025,761.5,
core_nominal_public_investment,core LP input,gov_10a_main,freq=A&unit=MIO_EUR&sector=S13&na_item=P51G,NL,NLD,2024,36342.0,p
core_nominal_public_investment,core LP input,gov_10a_main,freq=A&unit=MIO_EUR&sector=S13&na_item=P51G,NL,NLD,2025,40721.0,p
core_nominal_public_investment,core LP input,gov_10a_main,freq=A&unit=MIO_EUR&sector=S13&na_item=P51G,PL,POL,2024,40958.5,
core_nominal_public_investment,core LP input,gov_10a_main,freq=A&unit=MIO_EUR&sector=S13&na_item=P51G,PL,POL,2025,48072.7,
core_nominal_public_investment,core LP input,gov_10a_main,freq=A&unit=MIO_EUR&sector=S13&na_item=P51G,PT,PRT,2024,7880.8,
core_nominal_public_investment,core LP input,gov_10a_main,freq=A&unit=MIO_EUR&sector=S13&na_item=P51G,PT,PRT,2025,9167.0,
