input,role,dataset,params,present_2025,missing_2025_count,missing_2025_geo,missing_2025_country,status_flags_2025,present_2024,missing_2024_geo,eurostat_updated,fetched_at_utc,source_url,raw_json,raw_json_sha256
core_real_gdp,core LP outcome/input,nama_10_gdp,freq=A&unit=CLV15_MEUR&na_item=B1GQ,27,0,,,p,27,,2026-06-08T11:00:00+0200,2026-06-08T16:00:45.896925+00:00,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/nama_10_gdp?format=JSON&lang=en&freq=A&unit=CLV15_MEUR&na_item=B1GQ&geo=AT&geo=BE&geo=BG&geo=CY&geo=CZ&geo=DE&geo=DK&geo=ES&geo=EE&geo=FI&geo=FR&geo=EL&geo=HR&geo=HU&geo=IE&geo=IT&geo=LT&geo=LU&geo=LV&geo=MT&geo=NL&geo=PL&geo=PT&geo=RO&geo=SK&geo=SI&geo=SE&time=2024&time=2025,data/raw/core_real_gdp.json,live_not_persisted
core_real_government_consumption,core LP input,nama_10_gdp,freq=A&unit=CLV15_MEUR&na_item=P3_S13,27,0,,,p,27,,2026-06-08T11:00:00+0200,2026-06-08T16:00:46.047622+00:00,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/nama_10_gdp?format=JSON&lang=en&freq=A&unit=CLV15_MEUR&na_item=P3_S13&geo=AT&geo=BE&geo=BG&geo=CY&geo=CZ&geo=DE&geo=DK&geo=ES&geo=EE&geo=FI&geo=FR&geo=EL&geo=HR&geo=HU&geo=IE&geo=IT&geo=LT&geo=LU&geo=LV&geo=MT&geo=NL&geo=PL&geo=PT&geo=RO&geo=SK&geo=SI&geo=SE&time=2024&time=2025,data/raw/core_real_government_consumption.json,live_not_persisted
core_nominal_public_investment,core LP input,gov_10a_main,freq=A&unit=MIO_EUR&sector=S13&na_item=P51G,27,0,,,p,27,,2026-04-22T11:00:00+0200,2026-06-08T16:00:46.190931+00:00,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/gov_10a_main?format=JSON&lang=en&freq=A&unit=MIO_EUR&sector=S13&na_item=P51G&geo=AT&geo=BE&geo=BG&geo=CY&geo=CZ&geo=DE&geo=DK&geo=ES&geo=EE&geo=FI&geo=FR&geo=EL&geo=HR&geo=HU&geo=IE&geo=IT&geo=LT&geo=LU&geo=LV&geo=MT&geo=NL&geo=PL&geo=PT&geo=RO&geo=SK&geo=SI&geo=SE&time=2024&time=2025,data/raw/core_nominal_public_investment.json,live_not_persisted
core_public_investment_deflator,core LP input,nama_10_gdp,freq=A&unit=PD15_EUR&na_item=P51G,27,0,,,p,27,,2026-06-08T11:00:00+0200,2026-06-08T16:00:46.320188+00:00,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/nama_10_gdp?format=JSON&lang=en&freq=A&unit=PD15_EUR&na_item=P51G&geo=AT&geo=BE&geo=BG&geo=CY&geo=CZ&geo=DE&geo=DK&geo=ES&geo=EE&geo=FI&geo=FR&geo=EL&geo=HR&geo=HU&geo=IE&geo=IT&geo=LT&geo=LU&geo=LV&geo=MT&geo=NL&geo=PL&geo=PT&geo=RO&geo=SK&geo=SI&geo=SE&time=2024&time=2025,data/raw/core_public_investment_deflator.json,live_not_persisted
core_gdp_deflator,core LP input,nama_10_gdp,freq=A&unit=PD15_EUR&na_item=B1GQ,27,0,,,p,27,,2026-06-08T11:00:00+0200,2026-06-08T16:00:46.451895+00:00,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/nama_10_gdp?format=JSON&lang=en&freq=A&unit=PD15_EUR&na_item=B1GQ&geo=AT&geo=BE&geo=BG&geo=CY&geo=CZ&geo=DE&geo=DK&geo=ES&geo=EE&geo=FI&geo=FR&geo=EL&geo=HR&geo=HU&geo=IE&geo=IT&geo=LT&geo=LU&geo=LV&geo=MT&geo=NL&geo=PL&geo=PT&geo=RO&geo=SK&geo=SI&geo=SE&time=2024&time=2025,data/raw/core_gdp_deflator.json,live_not_persisted
core_government_debt,state/control candidate,gov_10dd_edpt1,freq=A&unit=PC_GDP&sector=S13&na_item=GD,27,0,,,,27,,2026-04-22T11:00:00+0200,2026-06-08T16:00:46.597669+00:00,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/gov_10dd_edpt1?format=JSON&lang=en&freq=A&unit=PC_GDP&sector=S13&na_item=GD&geo=AT&geo=BE&geo=BG&geo=CY&geo=CZ&geo=DE&geo=DK&geo=ES&geo=EE&geo=FI&geo=FR&geo=EL&geo=HR&geo=HU&geo=IE&geo=IT&geo=LT&geo=LU&geo=LV&geo=MT&geo=NL&geo=PL&geo=PT&geo=RO&geo=SK&geo=SI&geo=SE&time=2024&time=2025,data/raw/core_government_debt.json,live_not_persisted
core_exports,legacy trade-openness input,nama_10_gdp,freq=A&unit=CP_MEUR&na_item=P6,27,0,,,p,27,,2026-06-08T11:00:00+0200,2026-06-08T16:00:46.744329+00:00,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/nama_10_gdp?format=JSON&lang=en&freq=A&unit=CP_MEUR&na_item=P6&geo=AT&geo=BE&geo=BG&geo=CY&geo=CZ&geo=DE&geo=DK&geo=ES&geo=EE&geo=FI&geo=FR&geo=EL&geo=HR&geo=HU&geo=IE&geo=IT&geo=LT&geo=LU&geo=LV&geo=MT&geo=NL&geo=PL&geo=PT&geo=RO&geo=SK&geo=SI&geo=SE&time=2024&time=2025,data/raw/core_exports.json,live_not_persisted
core_imports,legacy trade-openness input,nama_10_gdp,freq=A&unit=CP_MEUR&na_item=P7,27,0,,,p,27,,2026-06-08T11:00:00+0200,2026-06-08T16:00:46.881791+00:00,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/nama_10_gdp?format=JSON&lang=en&freq=A&unit=CP_MEUR&na_item=P7&geo=AT&geo=BE&geo=BG&geo=CY&geo=CZ&geo=DE&geo=DK&geo=ES&geo=EE&geo=FI&geo=FR&geo=EL&geo=HR&geo=HU&geo=IE&geo=IT&geo=LT&geo=LU&geo=LV&geo=MT&geo=NL&geo=PL&geo=PT&geo=RO&geo=SK&geo=SI&geo=SE&time=2024&time=2025,data/raw/core_imports.json,live_not_persisted
core_nominal_gdp,denominator,nama_10_gdp,freq=A&unit=CP_MEUR&na_item=B1GQ,27,0,,,p,27,,2026-06-08T11:00:00+0200,2026-06-08T16:00:47.014167+00:00,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/nama_10_gdp?format=JSON&lang=en&freq=A&unit=CP_MEUR&na_item=B1GQ&geo=AT&geo=BE&geo=BG&geo=CY&geo=CZ&geo=DE&geo=DK&geo=ES&geo=EE&geo=FI&geo=FR&geo=EL&geo=HR&geo=HU&geo=IE&geo=IT&geo=LT&geo=LU&geo=LV&geo=MT&geo=NL&geo=PL&geo=PT&geo=RO&geo=SK&geo=SI&geo=SE&time=2024&time=2025,data/raw/core_nominal_gdp.json,live_not_persisted
core_household_credit,legacy liquidity input,nasa_10_f_bs,freq=A&unit=MIO_EUR&co_nco=NCO&sector=S14_S15&finpos=LIAB&na_item=F4,27,0,,,p,27,,2026-06-06T11:00:00+0200,2026-06-08T16:00:47.146234+00:00,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/nasa_10_f_bs?format=JSON&lang=en&freq=A&unit=MIO_EUR&co_nco=NCO&sector=S14_S15&finpos=LIAB&na_item=F4&geo=AT&geo=BE&geo=BG&geo=CY&geo=CZ&geo=DE&geo=DK&geo=ES&geo=EE&geo=FI&geo=FR&geo=EL&geo=HR&geo=HU&geo=IE&geo=IT&geo=LT&geo=LU&geo=LV&geo=MT&geo=NL&geo=PL&geo=PT&geo=RO&geo=SK&geo=SI&geo=SE&time=2024&time=2025,data/raw/core_household_credit.json,live_not_persisted
