input,dataset,value_2025,status_flag_2025,eurostat_updated
core_real_gdp,nama_10_gdp,615721.8,,2026-05-21T23:00:00+0200
core_real_government_consumption,nama_10_gdp,118440.1,,2026-05-21T23:00:00+0200
core_nominal_public_investment,gov_10a_main,48072.7,,2026-04-22T11:00:00+0200
core_public_investment_deflator,nama_10_gdp,132.246,,2026-05-21T23:00:00+0200
core_gdp_deflator,nama_10_gdp,149.884,,2026-05-21T23:00:00+0200
core_government_debt,gov_10dd_edpt1,59.7,,2026-04-22T11:00:00+0200
core_exports,nama_10_gdp,461553.9,,2026-05-21T23:00:00+0200
core_imports,nama_10_gdp,435690.7,,2026-05-21T23:00:00+0200
core_nominal_gdp,nama_10_gdp,922865.5,,2026-05-21T23:00:00+0200
core_household_credit,nasa_10_f_bs,204355.6,,2026-05-21T23:00:00+0200
core_gdp_per_capita_eur,nama_10_pc,24680,p,2026-05-22T11:00:00+0200
core_unemployment,une_rt_a,3.1,,2026-04-29T23:00:00+0200
extra_nominal_government_consumption,gov_10a_main,196680.7,,2026-04-22T11:00:00+0200
extra_government_revenue,gov_10a_main,402367.9,,2026-04-22T11:00:00+0200
replacement_gdp_pc_current_pps,nama_10_pc,33846.0,p,2026-05-22T11:00:00+0200
replacement_gdp_pc_real_index_2020,nama_10_pc,120.005,p,2026-05-22T11:00:00+0200
replacement_household_total_financial_assets,nasa_10_f_bs,941798.2,,2026-05-21T23:00:00+0200
replacement_household_total_financial_liabilities,nasa_10_f_bs,209531.2,,2026-05-21T23:00:00+0200
