feature_set,scenario,scenario_sign,dsa_margin_vs_baseline_pp,direct_DY_LP_margin_pp,Y_shortfall_pct,direct_discretionary_PB_level_pp
debt,three_1pp_cut_2028_2030,cut,3.6806664998779297,2.681393498857442,4.846459640431504,2.096736784698299
debt,three_1pp_expansion_2028_2030,expansion,-3.380088511948472,-2.681393498857442,-4.846459640431504,-2.096736784698299
linear_benchmark,three_1pp_cut_2028_2030,cut,7.659802440861142,3.4822259956592587,6.088868499387285,2.1549014753322804
linear_benchmark,three_1pp_expansion_2028_2030,expansion,-7.140701968192403,-3.4822259956592587,-6.088868499387285,-2.1549014753322804
liq,three_1pp_cut_2028_2030,cut,7.334595887182644,3.5130950649138333,5.943030665460828,2.16176800822286
liq,three_1pp_expansion_2028_2030,expansion,-6.84714698663619,-3.5130950649138333,-5.943030665460828,-2.16176800822286
trade,three_1pp_cut_2028_2030,cut,4.321313258261398,1.6629715166470893,4.538610215215073,1.9795350471158877
trade,three_1pp_expansion_2028_2030,expansion,-4.081318616800786,-1.6629715166470893,-4.538610215215073,-1.9795350471158877
equal_weight_scenario_channels,three_1pp_cut_2028_2030,cut,5.112191881773991,2.619153360139455,5.109366840369135,2.0793466133456824
equal_weight_scenario_channels,three_1pp_expansion_2028_2030,expansion,-4.769518038461816,-2.619153360139455,-5.109366840369135,-2.0793466133456824
