freq,freq_label,unit,unit_label,sector,sector_label,na_item,na_item_label,geo,geo_label,time,time_label,value,status,dataset_label,source,updated
A,Annual,PC_GDP,Percentage of gross domestic product (GDP),S13,General government,GD,Government consolidated gross debt,BE,Belgium,1995,1995,131.5,,"Government deficit/surplus, debt and associated data",ESTAT,2026-04-22T11:00:00+0200
A,Annual,PC_GDP,Percentage of gross domestic product (GDP),S13,General government,GD,Government consolidated gross debt,BE,Belgium,1996,1996,129.2,,"Government deficit/surplus, debt and associated data",ESTAT,2026-04-22T11:00:00+0200
A,Annual,PC_GDP,Percentage of gross domestic product (GDP),S13,General government,GD,Government consolidated gross debt,BE,Belgium,1997,1997,124.3,,"Government deficit/surplus, debt and associated data",ESTAT,2026-04-22T11:00:00+0200
A,Annual,PC_GDP,Percentage of gross domestic product (GDP),S13,General government,GD,Government consolidated gross debt,BE,Belgium,1998,1998,119.3,,"Government deficit/surplus, debt and associated data",ESTAT,2026-04-22T11:00:00+0200
A,Annual,PC_GDP,Percentage of gross domestic product (GDP),S13,General government,GD,Government consolidated gross debt,BE,Belgium,1999,1999,115.4,,"Government deficit/surplus, debt and associated data",ESTAT,2026-04-22T11:00:00+0200
A,Annual,PC_GDP,Percentage of gross domestic product (GDP),S13,General government,GD,Government consolidated gross debt,BE,Belgium,2000,2000,109.7,,"Government deficit/surplus, debt and associated data",ESTAT,2026-04-22T11:00:00+0200
A,Annual,PC_GDP,Percentage of gross domestic product (GDP),S13,General government,GD,Government consolidated gross debt,BE,Belgium,2001,2001,108.5,,"Government deficit/surplus, debt and associated data",ESTAT,2026-04-22T11:00:00+0200
A,Annual,PC_GDP,Percentage of gross domestic product (GDP),S13,General government,GD,Government consolidated gross debt,BE,Belgium,2002,2002,105.6,,"Government deficit/surplus, debt and associated data",ESTAT,2026-04-22T11:00:00+0200
A,Annual,PC_GDP,Percentage of gross domestic product (GDP),S13,General government,GD,Government consolidated gross debt,BE,Belgium,2003,2003,101.8,,"Government deficit/surplus, debt and associated data",ESTAT,2026-04-22T11:00:00+0200
A,Annual,PC_GDP,Percentage of gross domestic product (GDP),S13,General government,GD,Government consolidated gross debt,BE,Belgium,2004,2004,97.2,,"Government deficit/surplus, debt and associated data",ESTAT,2026-04-22T11:00:00+0200
A,Annual,PC_GDP,Percentage of gross domestic product (GDP),S13,General government,GD,Government consolidated gross debt,BE,Belgium,2005,2005,95.2,,"Government deficit/surplus, debt and associated data",ESTAT,2026-04-22T11:00:00+0200
A,Annual,PC_GDP,Percentage of gross domestic product (GDP),S13,General government,GD,Government consolidated gross debt,BE,Belgium,2006,2006,91.5,,"Government deficit/surplus, debt and associated data",ESTAT,2026-04-22T11:00:00+0200
A,Annual,PC_GDP,Percentage of gross domestic product (GDP),S13,General government,GD,Government consolidated gross debt,BE,Belgium,2007,2007,87.5,,"Government deficit/surplus, debt and associated data",ESTAT,2026-04-22T11:00:00+0200
A,Annual,PC_GDP,Percentage of gross domestic product (GDP),S13,General government,GD,Government consolidated gross debt,BE,Belgium,2008,2008,93.2,,"Government deficit/surplus, debt and associated data",ESTAT,2026-04-22T11:00:00+0200
A,Annual,PC_GDP,Percentage of gross domestic product (GDP),S13,General government,GD,Government consolidated gross debt,BE,Belgium,2009,2009,99.9,,"Government deficit/surplus, debt and associated data",ESTAT,2026-04-22T11:00:00+0200
A,Annual,PC_GDP,Percentage of gross domestic product (GDP),S13,General government,GD,Government consolidated gross debt,BE,Belgium,2010,2010,100.3,,"Government deficit/surplus, debt and associated data",ESTAT,2026-04-22T11:00:00+0200
A,Annual,PC_GDP,Percentage of gross domestic product (GDP),S13,General government,GD,Government consolidated gross debt,BE,Belgium,2011,2011,102.8,,"Government deficit/surplus, debt and associated data",ESTAT,2026-04-22T11:00:00+0200
A,Annual,PC_GDP,Percentage of gross domestic product (GDP),S13,General government,GD,Government consolidated gross debt,BE,Belgium,2012,2012,104.4,,"Government deficit/surplus, debt and associated data",ESTAT,2026-04-22T11:00:00+0200
A,Annual,PC_GDP,Percentage of gross domestic product (GDP),S13,General government,GD,Government consolidated gross debt,BE,Belgium,2013,2013,105.1,,"Government deficit/surplus, debt and associated data",ESTAT,2026-04-22T11:00:00+0200
A,Annual,PC_GDP,Percentage of gross domestic product (GDP),S13,General government,GD,Government consolidated gross debt,BE,Belgium,2014,2014,106.6,,"Government deficit/surplus, debt and associated data",ESTAT,2026-04-22T11:00:00+0200
A,Annual,PC_GDP,Percentage of gross domestic product (GDP),S13,General government,GD,Government consolidated gross debt,BE,Belgium,2015,2015,105.7,,"Government deficit/surplus, debt and associated data",ESTAT,2026-04-22T11:00:00+0200
A,Annual,PC_GDP,Percentage of gross domestic product (GDP),S13,General government,GD,Government consolidated gross debt,BE,Belgium,2016,2016,105.8,,"Government deficit/surplus, debt and associated data",ESTAT,2026-04-22T11:00:00+0200
A,Annual,PC_GDP,Percentage of gross domestic product (GDP),S13,General government,GD,Government consolidated gross debt,BE,Belgium,2017,2017,102.6,,"Government deficit/surplus, debt and associated data",ESTAT,2026-04-22T11:00:00+0200
A,Annual,PC_GDP,Percentage of gross domestic product (GDP),S13,General government,GD,Government consolidated gross debt,BE,Belgium,2018,2018,100.2,,"Government deficit/surplus, debt and associated data",ESTAT,2026-04-22T11:00:00+0200
A,Annual,PC_GDP,Percentage of gross domestic product (GDP),S13,General government,GD,Government consolidated gross debt,BE,Belgium,2019,2019,97.7,,"Government deficit/surplus, debt and associated data",ESTAT,2026-04-22T11:00:00+0200
A,Annual,PC_GDP,Percentage of gross domestic product (GDP),S13,General government,GD,Government consolidated gross debt,BE,Belgium,2020,2020,111.4,,"Government deficit/surplus, debt and associated data",ESTAT,2026-04-22T11:00:00+0200
A,Annual,PC_GDP,Percentage of gross domestic product (GDP),S13,General government,GD,Government consolidated gross debt,BE,Belgium,2021,2021,108.7,,"Government deficit/surplus, debt and associated data",ESTAT,2026-04-22T11:00:00+0200
A,Annual,PC_GDP,Percentage of gross domestic product (GDP),S13,General government,GD,Government consolidated gross debt,BE,Belgium,2022,2022,103.3,,"Government deficit/surplus, debt and associated data",ESTAT,2026-04-22T11:00:00+0200
A,Annual,PC_GDP,Percentage of gross domestic product (GDP),S13,General government,GD,Government consolidated gross debt,BE,Belgium,2023,2023,102.5,,"Government deficit/surplus, debt and associated data",ESTAT,2026-04-22T11:00:00+0200
A,Annual,PC_GDP,Percentage of gross domestic product (GDP),S13,General government,GD,Government consolidated gross debt,BE,Belgium,2024,2024,103.9,,"Government deficit/surplus, debt and associated data",ESTAT,2026-04-22T11:00:00+0200
A,Annual,PC_GDP,Percentage of gross domestic product (GDP),S13,General government,GD,Government consolidated gross debt,BE,Belgium,2025,2025,107.9,,"Government deficit/surplus, debt and associated data",ESTAT,2026-04-22T11:00:00+0200
A,Annual,PC_GDP,Percentage of gross domestic product (GDP),S13,General government,GD,Government consolidated gross debt,BG,Bulgaria,1995,1995,76.8,,"Government deficit/surplus, debt and associated data",ESTAT,2026-04-22T11:00:00+0200
A,Annual,PC_GDP,Percentage of gross domestic product (GDP),S13,General government,GD,Government consolidated gross debt,BG,Bulgaria,1996,1996,244.5,,"Government deficit/surplus, debt and associated data",ESTAT,2026-04-22T11:00:00+0200
A,Annual,PC_GDP,Percentage of gross domestic product (GDP),S13,General government,GD,Government consolidated gross debt,BG,Bulgaria,1997,1997,96.7,,"Government deficit/surplus, debt and associated data",ESTAT,2026-04-22T11:00:00+0200
A,Annual,PC_GDP,Percentage of gross domestic product (GDP),S13,General government,GD,Government consolidated gross debt,BG,Bulgaria,1998,1998,66.7,,"Government deficit/surplus, debt and associated data",ESTAT,2026-04-22T11:00:00+0200
A,Annual,PC_GDP,Percentage of gross domestic product (GDP),S13,General government,GD,Government consolidated gross debt,BG,Bulgaria,1999,1999,75.8,,"Government deficit/surplus, debt and associated data",ESTAT,2026-04-22T11:00:00+0200
A,Annual,PC_GDP,Percentage of gross domestic product (GDP),S13,General government,GD,Government consolidated gross debt,BG,Bulgaria,2000,2000,70.7,,"Government deficit/surplus, debt and associated data",ESTAT,2026-04-22T11:00:00+0200
A,Annual,PC_GDP,Percentage of gross domestic product (GDP),S13,General government,GD,Government consolidated gross debt,BG,Bulgaria,2001,2001,64.5,,"Government deficit/surplus, debt and associated data",ESTAT,2026-04-22T11:00:00+0200
A,Annual,PC_GDP,Percentage of gross domestic product (GDP),S13,General government,GD,Government consolidated gross debt,BG,Bulgaria,2002,2002,51.0,,"Government deficit/surplus, debt and associated data",ESTAT,2026-04-22T11:00:00+0200
A,Annual,PC_GDP,Percentage of gross domestic product (GDP),S13,General government,GD,Government consolidated gross debt,BG,Bulgaria,2003,2003,43.4,,"Government deficit/surplus, debt and associated data",ESTAT,2026-04-22T11:00:00+0200
A,Annual,PC_GDP,Percentage of gross domestic product (GDP),S13,General government,GD,Government consolidated gross debt,BG,Bulgaria,2004,2004,35.7,,"Government deficit/surplus, debt and associated data",ESTAT,2026-04-22T11:00:00+0200
A,Annual,PC_GDP,Percentage of gross domestic product (GDP),S13,General government,GD,Government consolidated gross debt,BG,Bulgaria,2005,2005,26.6,,"Government deficit/surplus, debt and associated data",ESTAT,2026-04-22T11:00:00+0200
A,Annual,PC_GDP,Percentage of gross domestic product (GDP),S13,General government,GD,Government consolidated gross debt,BG,Bulgaria,2006,2006,20.9,,"Government deficit/surplus, debt and associated data",ESTAT,2026-04-22T11:00:00+0200
