Channel evaluation,Horizon,K_Y(h),K_G(h),K_Y(h)/K_G(h)
EU27 benchmark,0,1.1623801975595205,1.0,1.1623801975595205
EU27 benchmark,1,2.1002721132853868,1.0054697700296258,2.0888466027412274
EU27 benchmark,2,2.2383649175593905,0.8408173197132758,2.6621298884788525
EU27 benchmark,3,1.985254156106146,0.7188560309898576,2.7616853313068415
EU27 benchmark,4,1.801222880875836,0.6865341688727333,2.623646371211771
EU27 benchmark,5,1.83159614079801,0.6892216075482013,2.657485082793078
EU27 benchmark,6,1.8634345252801372,0.669380104092791,2.7838212009686853
EU27 benchmark,7,2.0000012220822554,0.7094645743704137,2.819029017561698
EU27 benchmark,8,2.225432752024892,0.7760567968690756,2.867615825289051
Investment import content,0,1.3791126873307011,1.0,1.3791126873307011
Investment import content,1,2.288538112522518,1.0135057904552345,2.258041477488333
Investment import content,2,2.267273587515271,0.837137215841818,2.708365539853965
Investment import content,3,1.8267849878056897,0.7000075138793533,2.609664827284321
Investment import content,4,1.4742697449229902,0.6395038840197022,2.3053335276968703
Investment import content,5,1.278603640593463,0.6338620589901969,2.0171638646906893
Investment import content,6,1.2575975480558834,0.5983857098276658,2.101650369321269
Investment import content,7,1.483172724491676,0.6545902897280956,2.265803125658582
Investment import content,8,1.7978399426675131,0.726559047560126,2.4744581306982263
Household liquidity position,0,1.1796701513717092,1.0,1.1796701513717092
Household liquidity position,1,2.256513503813582,1.031232234010217,2.1881720037382246
Household liquidity position,2,2.368669964604744,0.84552976059785,2.8014034218380734
Household liquidity position,3,1.97035716076785,0.717650617918337,2.7455660339054586
Household liquidity position,4,1.7178851172438727,0.693733578261156,2.47628941581544
Household liquidity position,5,1.7623810316956836,0.6954510425310764,2.5341554242000166
Household liquidity position,6,1.7729350045413002,0.6792598331578841,2.6100984012243327
Household liquidity position,7,1.934341913608627,0.7153198435467549,2.704163642403126
Household liquidity position,8,2.235753747310901,0.7671883315182209,2.9142176118430725
Public debt,0,1.1338257952708586,1.0,1.1338257952708586
Public debt,1,1.9761920894860576,1.0050366966301163,1.9662884908702545
Public debt,2,2.025439225750681,0.8274386575469488,2.447842153949349
Public debt,3,1.6871836555926365,0.6946801915470011,2.4287199723305823
Public debt,4,1.4470297016882996,0.6546901851380567,2.2102510997368316
Public debt,5,1.4628645225588748,0.6608877168152165,2.2134842051662615
Public debt,6,1.48093252919559,0.6547914733738086,2.2616857265490875
Public debt,7,1.5841835943856393,0.6892836721496228,2.298304251782364
Public debt,8,1.7813435168502745,0.7526616391748677,2.3667255299514616
Equal weight average,0,1.2308695446577562,1.0,1.2308695446577562
Equal weight average,1,2.173747901940719,1.0165915736985225,2.1382706272414564
Equal weight average,2,2.2204609259568984,0.836701877995539,2.6538256747748536
Equal weight average,3,1.828108601388725,0.7041127744482304,2.59632926390421
Equal weight average,4,1.5463948546183877,0.6626425491396383,2.333678778439742
Equal weight average,5,1.5012830649493405,0.66340027277883,2.2630124323898957
Equal weight average,6,1.5038216939309246,0.6441456721197861,2.334598770154078
Equal weight average,7,1.667232744161981,0.6863979351414912,2.4289594400051695
Equal weight average,8,1.9383124022762297,0.748803006084405,2.5885478377176057
